,acc_name,clean_name
547,Paenibacillus_pini_JCM,paenibacillus_pini_jcm
548,"Oribacterium_sp_WCC10,",oribacterium_sp_wcc10
549,"Clostridium_sp_Marseille-P299,",clostridium_sp_marseille-p299
550,Paenibacillus_harenae_DSM,paenibacillus_harenae_dsm
551,"Clostridium_pasteurianum_BC1,",clostridium_pasteurianum_bc1
552,Clostridium_tyrobutyricum_DSM,clostridium_tyrobutyricum_dsm
553,Paenibacillus_popilliae_ATCC,paenibacillus_popilliae_atcc
554,Eubacterium_sp_68-3-10,eubacterium_sp_68-3-10
555,Clostridium_sp_Bc-iso-3,clostridium_sp_bc-iso-3
556,Megasphaera_massiliensis,megasphaera_massiliensis
557,Paenibacillus_etheri,paenibacillus_etheri
558,Clostridium_minihomine,clostridium_minihomine
559,Clostridium_algidicarnis_DSM,clostridium_algidicarnis_dsm
560,Anaerococcus_rubeinfantis_isolate,anaerococcus_rubeinfantis_isolate
561,Natronincola_peptidivorans,natronincola_peptidivorans
562,Alicyclobacillus_shizuokensis_NBRC,alicyclobacillus_shizuokensis_nbrc
563,Ruminiclostridium_josui_JCM,ruminiclostridium_josui_jcm
564,Paenibacillus_durus_ATCC,paenibacillus_durus_atcc
565,"Oribacterium_sp_KHPX15,",oribacterium_sp_khpx15
566,Clostridium_vincentii,clostridium_vincentii
567,Pelosinus_fermentans_JBW45,pelosinus_fermentans_jbw45
568,Blautia_sp_N6H1-15,blautia_sp_n6h1-15
569,Lachnospiraceae_bacterium_10-1,lachnospiraceae_bacterium_10-1
570,Anaerococcus_vaginalis,anaerococcus_vaginalis
571,Clostridium_paraputrificum,clostridium_paraputrificum
572,Lachnoclostridium_sp_An298,lachnoclostridium_sp_an298
573,Peptoclostridium_litorale_DSM,peptoclostridium_litorale_dsm
574,Desulfuribacillus_alkaliarsenatis,desulfuribacillus_alkaliarsenatis
575,"Lachnospiraceae_bacterium_XBB2008,",lachnospiraceae_bacterium_xbb2008
576,Paramaledivibacter_caminithermalis_DSM,paramaledivibacter_caminithermalis_dsm
577,Tissierella_creatinophila_DSM,tissierella_creatinophila_dsm
578,Christensenella_timonensis,christensenella_timonensis
579,Paludifilum_halophilum,paludifilum_halophilum
580,"Paenibacillus_sp_OK076,",paenibacillus_sp_ok076
581,"Lachnospiraceae_bacterium_RM5,",lachnospiraceae_bacterium_rm5
582,Kroppenstedtia_eburnea,kroppenstedtia_eburnea
583,Clostridium_perfringens_ATCC,clostridium_perfringens_atcc
584,Clostridium_sp_LS,clostridium_sp_ls
585,Terrisporobacter_othiniensis,terrisporobacter_othiniensis
586,"Peptoniphilus_sp_Marseille-P3761,",peptoniphilus_sp_marseille-p3761
587,Acetobacterium_wieringae,acetobacterium_wieringae
588,Anaerocolumna_xylanovorans_DSM,anaerocolumna_xylanovorans_dsm
589,Faecalibacterium_sp_An121,faecalibacterium_sp_an121
590,Ruminococcus_albus_7,ruminococcus_albus_7
591,Lachnoanaerobaculum_sp_OBRC5-5,lachnoanaerobaculum_sp_obrc5-5
592,Selenomonas_sp_AE3005,selenomonas_sp_ae3005
