,SUID,shared name,name,selected,EdgeCount,Indegree,Outdegree,activity,canonicalName,geneName,locus_tag.d6,sporulation,operon,Goe3_log2_fold_change,pDR110_log2_fold_change,sigF_log2_fold_change,sigG_log2_fold_change,SP10_log2_fold_change,ELDg168_log2_fold_change,ELDg169_log2_fold_change,infomap,betweenness,pagerank,novelProportion,priorProportion,0_GLay_cluster,node.shape,node.label
913,36053,BSU25690,BSU25690,False,2,2,0,target,BSU25690,sda,A8O17_RS12430,1,sda,0.0,0.0,0.0,0.0,0.0,0.0,-1.17798939457074,2,0.0,0.0003318968841657511,,,,,
914,36052,BSU00850,BSU00850,False,3,3,0,target,BSU00850,mcsB,A8O17_RS00580,1,ctsR→disA,0.0,0.0,2.60861733281847,0.0,0.0,0.0,1.40968560887595,1,0.0,0.0003434373563781401,,,,,
915,36051,BSU28550,BSU28550,False,17,2,15,regulator,BSU28550,fadR,A8O17_RS13635,0,fadR→etfA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.4904812973708144e-05,0.00033985886624876224,0.133333333333333,0.866666666666667,6.0,,
916,36050,BSU03270,BSU03270,False,1,1,0,target,BSU03270,ycgT,A8O17_RS01825,0,ycgT,0.0,0.0,0.0,0.0,0.0,1.10795370592652,0.0,3,0.0,0.0003274528024776383,,,,,
917,36049,BSU31260,BSU31260,False,1,1,0,target,BSU31260,mcpB,A8O17_RS15140,0,mcpB,0.0,0.0,0.0,0.0,0.0,0.0,-1.45848120357136,2,0.0,0.0003234438768110229,,,,,
918,36048,BSU19620,BSU19620,False,1,1,0,target,BSU19620,yodJ,A8O17_RS10210,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0003594093221741933,,,,,
919,36047,BSU36750,BSU36750,False,2,2,0,target,BSU36750,spoIID,A8O17_RS18010,1,spoIID,0.0,0.0,3.34764993734846,3.144560053,0.0,0.0,3.03508736668948,1,0.0,0.0003228483475197523,,,,,
920,36046,BSU37710,BSU37710,False,2,2,0,target,BSU37710,bacD,A8O17_RS18510,0,bacA→bacF,0.0,0.0,-4.30339461560196,-3.747600145,0.0,-0.955651654528351,-4.16749988612255,2,0.0,0.0003314774325575686,,,,,
921,36044,BSU09450,BSU09450,False,2,2,0,target,BSU09450,yhdF,A8O17_RS05075,0,citA→yhdF,0.0,0.0,-3.34539658520181,0.0,0.0,0.0,0.0,1,0.0,0.0003393401198025715,,,,,
922,36042,BSU18190,BSU18190,False,2,2,0,target,BSU18190,yngC,A8O17_RS09410,0,yngC,0.0,0.0,1.48155604629549,0.0,0.0,0.0,1.84256668241572,3,0.0,0.0003457874053808405,,,,,
923,36041,BSU19639,BSU19639,False,1,1,0,target,BSU19639,yoyE,A8O17_RS10220,1,yoyE,0.0,0.0,10.071154823857,9.606892978,0.0,0.0,5.920625518207201,1,0.0,0.0003216467513135777,,,,,
924,36040,BSU31279,BSU31279,False,1,1,0,target,BSU31279,yuzH,A8O17_RS15150,0,yugU->yuzH,0.0,0.0,0.0,0.0,0.0,0.0,3.36095261604152,1,0.0,0.00032221784385012044,,,,,
925,36039,BSU11839,BSU11839,False,1,1,0,target,BSU11839,yjzE,A8O17_RS06300,0,yjzE,0.0,0.0,-1.80688418291105,0.0,0.0,0.0,-1.98804152704621,1,0.0,0.00032221784385012044,,,,,
926,36038,BSU30830,BSU30830,False,1,1,0,target,BSU30830,menF,A8O17_RS14795,0,menF→menC,0.0,0.0,1.59516860458651,0.0,0.0,0.7734574184488249,1.54939732777347,6,0.0,0.00033106273670371916,,,,,
927,36037,BSU31270,BSU31270,False,1,1,0,target,BSU31270,tgl,A8O17_RS15145,1,tgl,0.0,0.0,2.93880890424853,0.0,0.0,0.0,1.09009313897118,1,0.0,0.00032219034927741166,,,,,
928,36036,BSU00860,BSU00860,False,3,3,0,target,BSU00860,clpC,A8O17_RS00585,1,ctsR→disA,0.0,0.0,1.96917400781609,0.0,0.0,-0.985829541119443,0.9140573893409671,1,0.0,0.0003434373563781401,,,,,
929,36035,BSU01040,BSU01040,False,1,1,0,target,BSU01040,rplJ,A8O17_RS00680,0,rplK->rplL,0.0,0.0,0.0,0.0,0.0,1.2523538049348,-3.5599026754088,5,0.0,0.00032248715575039445,,,,,
930,36034,BSU37740,BSU37740,False,2,2,0,target,BSU37740,bacA,A8O17_RS18525,0,bacA→bacF,0.0,0.0,-7.45184235558263,0.0,0.0,0.0,-3.3406018471379,2,0.0,0.0003314774325575686,,,,,
931,36033,BSU28520,BSU28520,False,2,2,0,target,BSU28520,etfA,A8O17_RS13620,0,fadR→etfA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.00034111383833536525,,,,,
932,36032,BSU11000,BSU11000,False,1,1,0,target,BSU11000,yitI,A8O17_RS05850,0,yitI→yitH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0003592508710784676,,,,,
